| Nr. | VB | Xbest |
 | 159 | -0,540887983172553 | 1,76305480745551 |
 | 160 | -0,663000913877903 | 1,76305480745551 |
 | 161 | -0,309870951278429 | 1,76305480745551 |
 | 162 | 0,0106690564441047 | 1,76305480745551 |
 | 163 | 0,758143122053074 | 1,76305480745551 |
 | 164 | -0,739994629001439 | 1,76305480745551 |
 | 165 | 1,76305480745551 | 1,76305480745551 |
 | 166 | -0,327408764936052 | 1,76305480745551 |
 | 167 | -0,0487159027901591 | 1,76305480745551 |
 | 168 | -0,103775355403526 | 1,76305480745551 |
 | 169 | -0,021176071707507 | 1,76305480745551 |
 | 170 | -0,493762976820642 | 1,76305480745551 |
 | 171 | -0,0173267842754362 | 1,76305480745551 |
 | 172 | 0,46793672846843 | 1,76305480745551 |
 | 173 | 1,35671401461222 | 1,76305480745551 |
 | 174 | -0,184743620876639 | 1,76305480745551 |
 | 175 | 0,301861438231637 | 1,76305480745551 |
 | 176 | 0,136088870025091 | 1,76305480745551 |
 | 177 | -0,14451942469124 | 1,76305480745551 |
 | 178 | -0,0648455756128723 | 1,76305480745551 |
 | 179 | -0,28880142967244 | 1,76305480745551 |
 | 180 | -1,35294734723868 | 1,76305480745551 |
 | 181 | -0,262248915465072 | 1,76305480745551 |
 | 182 | -0,313500234748038 | 1,76305480745551 |
 | 183 | -0,743057625369928 | 1,76305480745551 |
 | 184 | -0,306841990857031 | 1,76305480745551 |
 | 185 | -0,179886954250553 | 1,76305480745551 |
 | 186 | 0,0469373765812951 | 1,76305480745551 |
 | 187 | -0,796451364363954 | 1,76305480745551 |
 | 188 | -1,32810476817577 | 1,76305480745551 |
 | 189 | 0,145082088031417 | 1,76305480745551 |
 | 190 | -0,00411290873596466 | 1,76305480745551 |
 | 191 | 0,0820947115778628 | 1,76305480745551 |
 | 192 | 0,0227165744503234 | 1,76305480745551 |
 | 193 | 1,4022890986647 | 1,76305480745551 |
 | 194 | -0,268133652842754 | 1,76305480745551 |
 | 195 | 0,0188955193133696 | 1,76305480745551 |
 | 196 | 0,028529402012434 | 1,76305480745551 |
